,zipcode,major_city,county,state,population,population_density,land_area_in_sqmi,housing_units,median_household_income,Male_Population,Female_Population,Less_than_high_school,High_School_Graduate,Associates_degree,Bachelors_degree,Masters_degree,Professional_school_degree,Doctorate_degree,Race_white,Race_black_African_American,Race_American_Indian_Alaskan_native,Race_Asian,Race_Native_Hawaiian_Pacific_Islander,Race-Other,Race_Two_or_more
41,78726,Austin,Travis County,TX,13122,1207,10.87,5910,67466,6492,6630,249,2585,515,2793,1880,218,229,9949,467,58,1704,6,426,512
42,78610,Buda,Hays County,TX,23502,254,92.38,8184,79049,11704,11798,2040,7807,1182,3801,1211,97,155,18672,728,170,234,15,3026,657
43,78701,Austin,Travis County,TX,6841,4193,1.63,5036,86541,4260,2581,251,904,75,1915,1092,507,282,5480,531,44,409,2,218,157
44,78739,Austin,Travis County,TX,16792,1469,11.43,5537,128597,8283,8509,101,2454,484,4754,2002,529,353,13983,340,72,1630,12,306,449
45,78734,Austin,Travis County,TX,17655,881,20.04,8345,87300,8943,8712,761,4984,591,4408,1497,301,242,15787,148,73,291,11,988,357
46,78733,Austin,Travis County,TX,8762,765,11.46,3122,122860,4397,4365,128,1364,242,2106,1240,612,326,7444,53,24,824,2,199,216
47,78681,Round Rock,Williamson County,TX,50606,2329,21.73,17971,92453,25057,25549,2035,12750,2573,10708,4191,557,463,39567,2616,308,3911,58,2682,1464
48,78737,Austin,Hays County,TX,12081,316,38.19,4395,121094,5965,6116,304,2597,546,3463,1447,433,306,10947,141,51,308,19,312,303
49,78712,Austin,Travis County,TX,6841,4193,1.63,5036,86541,4260,2581,251,904,75,1915,1092,507,282,5480,531,44,409,2,218,157
50,78621,Elgin,Bastrop County,TX,21659,116,187,7955,52471,10779,10880,2963,8085,1005,1416,598,76,85,14369,2455,206,128,23,3769,709
51,78767,Austin,Travis County,TX,6841,4193,1.63,5036,86541,4260,2581,251,904,75,1915,1092,507,282,5480,531,44,409,2,218,157
52,78602,Bastrop,Bastrop County,TX,25160,130,193.6,9845,50376,13344,11816,2940,10150,1564,2237,808,206,77,19103,2409,231,206,23,2427,761
