index_id_intake,animal_id_intake,datetime_intake,monthyear_intake,found_location,intake_type,intake_condition,animal_type_intake,sex_upon_intake,age_upon_intake,breed_intake,color_intake,Age_Upon_Intake(days),Age_Upon_Intake(years),age_range_intake,intake_month,intake_year,intake_weekday,intake_hour,intake_frequency,order_of_intake,breed_intake_subtype,breed_contains_pitbull,sex_upon_intake_subtype,time_in_shelter,days_in_shelter
79996,A863913,2022-08-17 14:15:00,Aug-22,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,1 year,Domestic Longhair,Brown Tabby/White,365,1,"(-0.001, 2.5]",8,2022,Wednesday,14,1,1,Purebreed,N,Male,21 days 10:19:47.648944,21
121257,A863914,2022-08-17 14:15:00,Aug-22,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Orange Tabby,365,1,"(-0.001, 2.5]",8,2022,Wednesday,14,1,1,Purebreed,N,Male,21 days 10:19:47.648944,21
80846,A863917,2022-08-17 14:49:00,Aug-22,7302 Decker Ln in Travis (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair,Black,21,0.06,"(-0.001, 2.5]",8,2022,Wednesday,14,1,1,Purebreed,N,Female,21 days 09:45:47.648944,21
143584,A863918,2022-08-29 17:42:00,Aug-22,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,3 years,Pit Bull,Brown/White,1095,3,"(2.5, 5.0]",8,2022,Monday,17,1,1,Purebreed,Y,Female,9 days 06:52:47.648944,9
99514,A863919,2022-08-17 15:11:00,Aug-22,12312 Double Tree Ln in Austin (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Shorthair,Blue/White,365,1,"(-0.001, 2.5]",8,2022,Wednesday,15,1,1,Purebreed,N,Male,21 days 09:23:47.648944,21
31456,A864007,2022-08-19 11:04:00,Aug-22,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Plott Hound,Brown Brindle,365,1,"(-0.001, 2.5]",8,2022,Friday,11,1,1,Purebreed,N,Male,19 days 13:30:47.648944,19
143833,A864011,2022-08-19 12:15:00,Aug-22,14000 Renaissance Ct in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Black/White,730,2,"(-0.001, 2.5]",8,2022,Friday,12,1,1,Mix,N,Female,19 days 12:19:47.648944,19
76920,A864015,2022-08-19 11:47:00,Aug-22,7221 Black Panda in Travis (TX),Stray,Normal,Cat,Intact Male,4 months,Domestic Shorthair,Black,124,0.34,"(-0.001, 2.5]",8,2022,Friday,11,1,1,Purebreed,N,Male,19 days 12:47:47.648944,19
143408,A864017,2022-08-19 12:14:00,Aug-22,1604 Haskell St in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Labrador Retriever Mix,Red,155,0.42,"(-0.001, 2.5]",8,2022,Friday,12,1,1,Mix,N,Male,19 days 12:20:47.648944,19
143398,A864018,2022-08-19 12:14:00,Aug-22,1604 Haskell St in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull,White/Black,730,2,"(-0.001, 2.5]",8,2022,Friday,12,1,1,Purebreed,Y,Male,19 days 12:20:47.648944,19
51334,A864042,2022-08-19 16:04:00,Aug-22,8814 Schick in Austin (TX),Stray,Normal,Dog,Intact Male,11 months,Pit Bull,Brown Brindle,341,0.93,"(-0.001, 2.5]",8,2022,Friday,16,1,1,Purebreed,Y,Male,19 days 08:30:47.648944,19
