index_id_intake,animal_id_intake,datetime_intake,monthyear_intake,found_location,intake_type,intake_condition,animal_type_intake,sex_upon_intake,age_upon_intake,breed_intake,color_intake,age_upon_intake(days),age_upon_intake(years),age_range_intake,intake_month,intake_year,intake_weekday,intake_hour,intake_frequency,order_of_intake,breed_intake_subtype,main_breed_intake,breed_contains_pitbull,sex_upon_intake_subtype,time_in_shelter,days_in_shelter,zipcode_intake,longitude_intake,latitude_intake
7082,A764237,2017-12-26 12:08:00,December 2017,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Brown Tabby,3650,10,"(7.5, 10.0]",12,2017,Tuesday,12,1,1,Mix,Domestic Shorthair,N,Female,1729 days 06:32:25.734475,1729,,,
143752,A760881,2022-08-31 16:44:00,August 2022,Travis (TX),Owner Surrender,Normal,Dog,Neutered Male,5 years,Belgian Malinois Mix,Tan/Black,1825,5,"(2.5, 5.0]",8,2022,Wednesday,16,2,2,Mix,Belgian Malinois,N,Male,20 days 02:56:25.734475,20,,,
89184,A762495,2021-06-21 12:42:00,June 2021,13713 Fallsprings Way in Travis (TX),Owner Surrender,Normal,Dog,Intact Female,3 years,Boxer/Black Mouth Cur,Red,1095,3,"(2.5, 5.0]",6,2021,Monday,12,1,1,Purebred,Boxer,N,Female,456 days 06:58:25.734475,456,,,
10679,A766708,2022-08-23 13:45:00,August 2022,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,5 years,Pit Bull Mix,White/Blue,1825,5,"(2.5, 5.0]",8,2022,Tuesday,13,3,3,Mix,Pit Bull,Y,Male,28 days 05:55:25.734475,28,,,
25170,A764602,2021-06-02 16:17:00,June 2021,8403 Colony Loop in Austin (TX),Stray,Sick,Dog,Intact Male,8 years,Pit Bull Mix,Black,2920,8,"(7.5, 10.0]",6,2021,Wednesday,16,2,2,Mix,Pit Bull,Y,Male,475 days 03:23:25.734475,475,,,
85527,A766043,2022-06-04 16:07:00,June 2022,6402 Ponca Street in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Pit Bull Mix,Blue,1825,5,"(2.5, 5.0]",6,2022,Saturday,16,2,2,Mix,Pit Bull,Y,Male,108 days 03:33:25.734475,108,78741,-97.69415398999996,30.23666338000004
60394,A770617,2022-01-20 16:25:00,January 2022,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,6 years,Pit Bull Mix,Fawn/White,2190,6,"(5.0, 7.5]",1,2022,Thursday,16,2,2,Mix,Pit Bull,Y,Female,243 days 02:15:25.734475,243,,,
133116,A781644,2022-02-14 14:50:00,February 2022,2207 Lou Neff in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Pit Bull Mix,Tan/White,1460,4,"(2.5, 5.0]",2,2022,Monday,14,2,2,Mix,Pit Bull,Y,Female,218 days 03:50:25.734475,218,78746,-97.76575198199998,30.268559159000063
107736,A781500,2021-09-15 17:17:00,September 2021,1408 Cool Shadow Drive in Travis (TX),Public Assist,Normal,Dog,Intact Female,4 years,Staffordshire,Black/White,1460,4,"(2.5, 5.0]",9,2021,Wednesday,17,2,2,Purebred,Staffordshire,N,Female,370 days 02:23:25.734475,370,,,
92610,A799377,2022-06-29 13:07:00,June 2022,6301 Harold Court in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,Labrador Retriever Mix,Fawn/Black,1095,3,"(2.5, 5.0]",6,2022,Wednesday,13,3,3,Mix,Labrador Retriever,N,Male,83 days 06:33:25.734475,83,,,
