index_id_intake,animal_id_intake,breed_category,breed_consolidated,breed_group,breed_contains_pitbull,color_consolidated,intake_type,intake_condition,sex_upon_intake_subtype,age_intake(days),age_intake(years),age_range_intake,intake_date,intake_month,intake_day1,intake_year,intake_numeric_weekday,intake_hour,outcome_date,outcome_month,outcome_day,outcome_year,outcome_weekday,age_outcome(days),age_upon_outcome(years),age_range_outcome,days_in_shelter,outcome,zipcode,population,population_density,land_area_in_sqmi,housing_units,median_household_income,Male_Population,Female_Population,Less_than_high_school,High_School_Graduate,Associates_degree,Bachelors_degree,Masters_degree,Professional_school_degree,Doctorate_degree,Race_white,Race_black_African_American,Race_American_Indian_Alaskan_native,Race_Asian,Race_Native_Hawaiian_Pacific_Islander,Race-Other,Race_Two_or_more
62474,A544775,Mix,pit bull,terrier,Y,Other,Stray,Normal,Female,3650,10,"(7.5, 10.0]",3/14/2016,3,14,2016,0,10,7/12/2016,7,12,2016,Tuesday,4059,11.12,"(10.0, 12.5]",120,Success,78749,34449,3421,10.07,14857,84907,16863,17586,608,7176,1572,9571,3755,725,633,27894,1129,186,2700,34,1442,1064
82676,A547015,Purebred,toy,toy,N,Other,Stray,Normal,Male,2190,6,"(5.0, 7.5]",9/30/2014,9,30,2014,1,16,10/8/2014,10,8,2014,Wednesday,2302,6.31,"(5.0, 7.5]",8,Success,78753,49301,4495,10.97,19630,38884,25647,23654,9456,14429,1645,4746,1238,167,186,26031,6141,632,3373,24,11166,1934
49821,A549282,Purebred,pit bull,terrier,Y,Brindle,Stray,Normal,Male,2190,6,"(5.0, 7.5]",11/7/2015,11,7,2015,5,15,11/14/2015,11,14,2015,Saturday,2528,6.93,"(5.0, 7.5]",7,Success,78741,44935,5915,7.6,20500,30871,23969,20966,8387,10832,1107,3866,1351,225,237,24139,4743,550,1831,39,11893,1740
32249,A550870,Purebred,pointer,sporting,N,Brown,Stray,Normal,Female,2555,7,"(5.0, 7.5]",4/23/2014,4,23,2014,2,16,5/5/2014,5,5,2014,Monday,2569,7.04,"(5.0, 7.5]",12,Success,78741,44935,5915,7.6,20500,30871,23969,20966,8387,10832,1107,3866,1351,225,237,24139,4743,550,1831,39,11893,1740
121416,A551111,Mix,herding,working-herding,N,Brindle,Stray,Normal,Female,2920,8,"(7.5, 10.0]",7/4/2016,7,4,2016,0,14,7/5/2016,7,5,2016,Tuesday,3258,8.93,"(7.5, 10.0]",1,Success,78754,15036,1135,13.25,6492,54896,7464,7572,924,5038,698,2516,902,97,127,7504,3068,113,1808,19,1887,637
22264,A554278,Mix,hound,hound,N,Brown/White,Stray,Normal,Male,4745,13,"(12.5, 15.0]",12/26/2020,12,26,2020,5,15,1/27/2021,1,27,2021,Wednesday,4828,13.23,"(12.5, 15.0]",31,Success,78753,49301,4495,10.97,19630,38884,25647,23654,9456,14429,1645,4746,1238,167,186,26031,6141,632,3373,24,11166,1934
123763,A559692,Purebred,guardian,working,N,Black/Other,Stray,Normal,Male,2920,8,"(7.5, 10.0]",2/12/2014,2,12,2014,2,21,2/23/2014,2,23,2014,Sunday,3036,8.32,"(7.5, 10.0]",10,Success,78753,49301,4495,10.97,19630,38884,25647,23654,9456,14429,1645,4746,1238,167,186,26031,6141,632,3373,24,11166,1934
120404,A559954,Mix,retriever,sporting,N,Black,Owner Surrender,Normal,Female,2920,8,"(7.5, 10.0]",8/3/2017,8,3,2017,3,17,9/5/2017,9,5,2017,Tuesday,3078,8.43,"(7.5, 10.0]",32,Success,78702,21334,4268,5,9032,36197,10887,10447,4304,5391,323,3205,1002,178,174,11323,3715,334,228,5,4985,744
11348,A567214,Mix,retriever,sporting,N,Black,Public Assist,Normal,Female,1825,5,"(2.5, 5.0]",3/6/2015,3,6,2015,4,13,4/25/2015,4,25,2015,Saturday,1932,5.29,"(5.0, 7.5]",50,Success,78653,16375,156,104.97,5532,59763,8141,8234,1974,4831,778,1744,391,145,42,9143,3320,140,312,17,2782,661
33646,A570181,Mix,retriever,sporting,N,Tan/White,Stray,Normal,Female,2920,8,"(7.5, 10.0]",4/6/2017,4,6,2017,3,17,4/30/2017,4,30,2017,Sunday,2948,8.08,"(7.5, 10.0]",24,Success,78752,18064,5403,3.34,7944,34716,9778,8286,3976,4429,493,2095,807,88,120,10787,2124,334,333,10,3781,695
137589,A571610,Mix,retriever,sporting,N,Brown,Owner Surrender,Normal,Male,2555,7,"(5.0, 7.5]",6/24/2016,6,24,2016,4,13,8/8/2016,8,8,2016,Monday,2907,7.96,"(7.5, 10.0]",44,Success,78748,40651,3207,12.67,16857,66309,19670,20981,2018,12390,2116,8639,2750,297,217,30993,2105,320,1642,34,4082,1475
63692,A573717,Purebred,retriever,sporting,N,Black/White,Stray,Normal,Female,2190,6,"(5.0, 7.5]",4/25/2016,4,25,2016,0,18,12/30/2016,12,30,2016,Friday,2785,7.63,"(7.5, 10.0]",248,Success,78757,21310,4335,4.92,10898,57429,10453,10857,1359,5756,926,5220,2528,514,461,18327,675,150,480,8,1120,550
